location_pair,ODM_value
"('Budapest', 'Kecskemét')",55.341177540571586
"('Budapest', 'Szolnok')",70.51884920833501
"('Budapest', 'Dunaújváros')",1741.6399783511938
"('Budapest', 'Székesfehérvár')",1.126180097107817
"('Budapest', 'Győr')",87.52683631596668
"('Budapest', 'Szeged')",93.07553468473654
"('Budapest', 'Pécs')",2687.139446643172
"('Budapest', 'Szekszárd')",472.8224615252763
"('Budapest', 'Debrecen')",857.5670077153283
"('Budapest', 'Nyíregyháza')",2016.9289250430238
"('Budapest', 'Miskolc')",57.751606641737375
"('Budapest', 'Siófok')",909.5861140149349
"('Budapest', 'Veszprém')",1389.510363580283
"('Budapest', 'Sopron')",455.9652234947619
"('Budapest', 'Szombathely')",1657.0982206984906
"('Kecskemét', 'Szolnok')",140.1878954047139
"('Kecskemét', 'Dunaújváros')",60.47676385623074
"('Kecskemét', 'Székesfehérvár')",2620.963805414408
"('Kecskemét', 'Győr')",2029.3592613663543
"('Kecskemét', 'Szeged')",0.9493315664671998
"('Kecskemét', 'Pécs')",37.43902896534552
"('Kecskemét', 'Szekszárd')",711.3726873846871
"('Kecskemét', 'Debrecen')",575.9580095981114
"('Kecskemét', 'Nyíregyháza')",2729.5857400491686
"('Kecskemét', 'Miskolc')",2333.29771964592
"('Kecskemét', 'Siófok')",1220.9436617882207
"('Kecskemét', 'Veszprém')",3591.6126014177853
"('Kecskemét', 'Sopron')",2558.395200219907
"('Kecskemét', 'Szombathely')",3107.4202203938385
"('Szolnok', 'Dunaújváros')",1050.0755141572454
"('Szolnok', 'Székesfehérvár')",1675.9681352227778
"('Szolnok', 'Győr')",236.42711677564535
"('Szolnok', 'Szeged')",492.56859459106323
"('Szolnok', 'Pécs')",1502.9060239490916
"('Szolnok', 'Szekszárd')",3226.034089245939
"('Szolnok', 'Debrecen')",129.99623718616886
"('Szolnok', 'Nyíregyháza')",99.78390132541283
"('Szolnok', 'Miskolc')",1497.6176467601945
"('Szolnok', 'Siófok')",1492.870790781926
"('Szolnok', 'Veszprém')",2660.0793505959027
"('Szolnok', 'Sopron')",1457.8924482939808
"('Szolnok', 'Szombathely')",2073.3004677093663
"('Dunaújváros', 'Székesfehérvár')",136.52016779426285
"('Dunaújváros', 'Győr')",1121.6996374390835
"('Dunaújváros', 'Szeged')",712.6017507113651
"('Dunaújváros', 'Pécs')",0.15908813275898984
"('Dunaújváros', 'Szekszárd')",1.000999991203251
"('Dunaújváros', 'Debrecen')",2707.0877302992258
"('Dunaújváros', 'Nyíregyháza')",298.9130417568568
"('Dunaújváros', 'Miskolc')",637.5599289909618
"('Dunaújváros', 'Siófok')",266.21842419718513
"('Dunaújváros', 'Veszprém')",444.41566866980145
"('Dunaújváros', 'Sopron')",1680.7651111121534
"('Dunaújváros', 'Szombathely')",339.72476438442925
"('Székesfehérvár', 'Győr')",175.2192511629286
"('Székesfehérvár', 'Szeged')",1002.7299822881367
"('Székesfehérvár', 'Pécs')",1087.6425039447977
