flow,origin,destination
7047,Budapest,Kecskemét
13896,Budapest,Szolnok
7571,Budapest,Dunaújváros
29400,Budapest,Székesfehérvár
22969,Budapest,Győr
5659,Budapest,Szeged
9365,Budapest,Pécs
5760,Budapest,Szekszárd
18331,Budapest,Debrecen
8418,Budapest,Nyíregyháza
19583,Budapest,Miskolc
9685,Budapest,Siófok
5010,Budapest,Veszprém
10339,Budapest,Sopron
13146,Budapest,Szombathely
5992,Kecskemét,Szolnok
5359,Kecskemét,Dunaújváros
373,Kecskemét,Székesfehérvár
95,Kecskemét,Győr
7201,Kecskemét,Szeged
944,Kecskemét,Pécs
1501,Kecskemét,Szekszárd
2439,Kecskemét,Debrecen
195,Kecskemét,Nyíregyháza
55,Kecskemét,Miskolc
731,Kecskemét,Siófok
324,Kecskemét,Veszprém
59,Kecskemét,Sopron
204,Kecskemét,Szombathely
276,Szolnok,Dunaújváros
48,Szolnok,Székesfehérvár
240,Szolnok,Győr
6540,Szolnok,Szeged
607,Szolnok,Pécs
213,Szolnok,Szekszárd
3539,Szolnok,Debrecen
231,Szolnok,Nyíregyháza
405,Szolnok,Miskolc
113,Szolnok,Siófok
39,Szolnok,Veszprém
127,Szolnok,Sopron
101,Szolnok,Szombathely
4696,Dunaújváros,Székesfehérvár
469,Dunaújváros,Győr
3753,Dunaújváros,Szeged
1320,Dunaújváros,Pécs
1186,Dunaújváros,Szekszárd
341,Dunaújváros,Debrecen
44,Dunaújváros,Nyíregyháza
38,Dunaújváros,Miskolc
249,Dunaújváros,Siófok
1139,Dunaújváros,Veszprém
32,Dunaújváros,Sopron
158,Dunaújváros,Szombathely
6752,Székesfehérvár,Győr
1342,Székesfehérvár,Szeged
2371,Székesfehérvár,Pécs
613,Székesfehérvár,Szekszárd
130,Székesfehérvár,Debrecen
40,Székesfehérvár,Nyíregyháza
177,Székesfehérvár,Miskolc
14392,Székesfehérvár,Siófok
7218,Székesfehérvár,Veszprém
1385,Székesfehérvár,Sopron
267,Székesfehérvár,Szombathely
118,Győr,Szeged
970,Győr,Pécs
537,Győr,Szekszárd
364,Győr,Debrecen
71,Győr,Nyíregyháza
335,Győr,Miskolc
850,Győr,Siófok
532,Győr,Veszprém
6368,Győr,Sopron
7431,Győr,Szombathely
1734,Szeged,Pécs
1179,Szeged,Szekszárd
2062,Szeged,Debrecen
828,Szeged,Nyíregyháza
52,Szeged,Miskolc
1912,Szeged,Siófok
1021,Szeged,Veszprém
74,Szeged,Sopron
683,Szeged,Szombathely
2241,Pécs,Szekszárd
1049,Pécs,Debrecen
374,Pécs,Nyíregyháza
82,Pécs,Miskolc
1341,Pécs,Siófok
1838,Pécs,Veszprém
723,Pécs,Sopron
2647,Pécs,Szombathely
554,Szekszárd,Debrecen
0,Szekszárd,Nyíregyháza
20,Szekszárd,Miskolc
292,Szekszárd,Siófok
1502,Szekszárd,Veszprém
255,Szekszárd,Sopron
333,Szekszárd,Szombathely
6818,Debrecen,Nyíregyháza
2062,Debrecen,Miskolc
260,Debrecen,Siófok
38,Debrecen,Veszprém
412,Debrecen,Sopron
35,Debrecen,Szombathely
2481,Nyíregyháza,Miskolc
69,Nyíregyháza,Siófok
42,Nyíregyháza,Veszprém
95,Nyíregyháza,Sopron
24,Nyíregyháza,Szombathely
122,Miskolc,Siófok
6,Miskolc,Veszprém
96,Miskolc,Sopron
155,Miskolc,Szombathely
5604,Siófok,Veszprém
558,Siófok,Sopron
367,Siófok,Szombathely
260,Veszprém,Sopron
753,Veszprém,Szombathely
2221,Sopron,Szombathely
