flow,origin,destination
5051,Budapest,Kecskemét
3277,Budapest,Szolnok
2551,Budapest,Dunaújváros
5964,Budapest,Székesfehérvár
3015,Budapest,Győr
2505,Budapest,Szeged
2134,Budapest,Pécs
656,Budapest,Szekszárd
2473,Budapest,Debrecen
1580,Budapest,Nyíregyháza
2905,Budapest,Miskolc
848,Budapest,Siófok
1377,Budapest,Veszprém
626,Budapest,Sopron
848,Budapest,Szombathely
630,Kecskemét,Szolnok
272,Kecskemét,Dunaújváros
74,Kecskemét,Székesfehérvár
60,Kecskemét,Győr
657,Kecskemét,Szeged
59,Kecskemét,Pécs
48,Kecskemét,Szekszárd
133,Kecskemét,Debrecen
21,Kecskemét,Nyíregyháza
39,Kecskemét,Miskolc
19,Kecskemét,Siófok
58,Kecskemét,Veszprém
17,Kecskemét,Sopron
22,Kecskemét,Szombathely
38,Szolnok,Dunaújváros
15,Szolnok,Székesfehérvár
50,Szolnok,Győr
424,Szolnok,Szeged
27,Szolnok,Pécs
9,Szolnok,Szekszárd
272,Szolnok,Debrecen
35,Szolnok,Nyíregyháza
85,Szolnok,Miskolc
8,Szolnok,Siófok
17,Szolnok,Veszprém
12,Szolnok,Sopron
10,Szolnok,Szombathely
561,Dunaújváros,Székesfehérvár
62,Dunaújváros,Győr
120,Dunaújváros,Szeged
98,Dunaújváros,Pécs
59,Dunaújváros,Szekszárd
24,Dunaújváros,Debrecen
10,Dunaújváros,Nyíregyháza
12,Dunaújváros,Miskolc
19,Dunaújváros,Siófok
81,Dunaújváros,Veszprém
1,Dunaújváros,Sopron
10,Dunaújváros,Szombathely
504,Székesfehérvár,Győr
99,Székesfehérvár,Szeged
143,Székesfehérvár,Pécs
24,Székesfehérvár,Szekszárd
21,Székesfehérvár,Debrecen
10,Székesfehérvár,Nyíregyháza
35,Székesfehérvár,Miskolc
460,Székesfehérvár,Siófok
883,Székesfehérvár,Veszprém
47,Székesfehérvár,Sopron
29,Székesfehérvár,Szombathely
46,Győr,Szeged
103,Győr,Pécs
24,Győr,Szekszárd
39,Győr,Debrecen
11,Győr,Nyíregyháza
43,Győr,Miskolc
63,Győr,Siófok
271,Győr,Veszprém
436,Győr,Sopron
356,Győr,Szombathely
177,Szeged,Pécs
115,Szeged,Szekszárd
69,Szeged,Debrecen
55,Szeged,Nyíregyháza
23,Szeged,Miskolc
32,Szeged,Siófok
59,Szeged,Veszprém
13,Szeged,Sopron
29,Szeged,Szombathely
496,Pécs,Szekszárd
24,Pécs,Debrecen
17,Pécs,Nyíregyháza
18,Pécs,Miskolc
52,Pécs,Siófok
66,Pécs,Veszprém
35,Pécs,Sopron
84,Pécs,Szombathely
13,Szekszárd,Debrecen
0,Szekszárd,Nyíregyháza
2,Szekszárd,Miskolc
7,Szekszárd,Siófok
36,Szekszárd,Veszprém
5,Szekszárd,Sopron
7,Szekszárd,Szombathely
2008,Debrecen,Nyíregyháza
755,Debrecen,Miskolc
9,Debrecen,Siófok
8,Debrecen,Veszprém
20,Debrecen,Sopron
1,Debrecen,Szombathely
457,Nyíregyháza,Miskolc
5,Nyíregyháza,Siófok
14,Nyíregyháza,Veszprém
7,Nyíregyháza,Sopron
1,Nyíregyháza,Szombathely
10,Miskolc,Siófok
1,Miskolc,Veszprém
5,Miskolc,Sopron
9,Miskolc,Szombathely
555,Siófok,Veszprém
29,Siófok,Sopron
32,Siófok,Szombathely
55,Veszprém,Sopron
99,Veszprém,Szombathely
480,Sopron,Szombathely
