flow,origin,destination
7099,Budapest,Kecskemét
13197,Budapest,Szolnok
7568,Budapest,Dunaújváros
29258,Budapest,Székesfehérvár
22984,Budapest,Győr
5641,Budapest,Szeged
9391,Budapest,Pécs
5786,Budapest,Szekszárd
19897,Budapest,Debrecen
8859,Budapest,Nyíregyháza
19887,Budapest,Miskolc
9666,Budapest,Siófok
5095,Budapest,Veszprém
10387,Budapest,Sopron
13114,Budapest,Szombathely
6196,Kecskemét,Szolnok
5394,Kecskemét,Dunaújváros
374,Kecskemét,Székesfehérvár
96,Kecskemét,Győr
7154,Kecskemét,Szeged
955,Kecskemét,Pécs
1502,Kecskemét,Szekszárd
2333,Kecskemét,Debrecen
187,Kecskemét,Nyíregyháza
56,Kecskemét,Miskolc
745,Kecskemét,Siófok
328,Kecskemét,Veszprém
59,Kecskemét,Sopron
207,Kecskemét,Szombathely
273,Szolnok,Dunaújváros
45,Szolnok,Székesfehérvár
228,Szolnok,Győr
6692,Szolnok,Szeged
633,Szolnok,Pécs
214,Szolnok,Szekszárd
3287,Szolnok,Debrecen
215,Szolnok,Nyíregyháza
376,Szolnok,Miskolc
110,Szolnok,Siófok
38,Szolnok,Veszprém
120,Szolnok,Sopron
96,Szolnok,Szombathely
4725,Dunaújváros,Székesfehérvár
468,Dunaújváros,Győr
3761,Dunaújváros,Szeged
1311,Dunaújváros,Pécs
1195,Dunaújváros,Szekszárd
312,Dunaújváros,Debrecen
45,Dunaújváros,Nyíregyháza
38,Dunaújváros,Miskolc
253,Dunaújváros,Siófok
1144,Dunaújváros,Veszprém
32,Dunaújváros,Sopron
161,Dunaújváros,Szombathely
6748,Székesfehérvár,Győr
1341,Székesfehérvár,Szeged
2363,Székesfehérvár,Pécs
619,Székesfehérvár,Szekszárd
113,Székesfehérvár,Debrecen
42,Székesfehérvár,Nyíregyháza
177,Székesfehérvár,Miskolc
14281,Székesfehérvár,Siófok
7194,Székesfehérvár,Veszprém
1390,Székesfehérvár,Sopron
271,Székesfehérvár,Szombathely
118,Győr,Szeged
967,Győr,Pécs
539,Győr,Szekszárd
319,Győr,Debrecen
75,Győr,Nyíregyháza
338,Győr,Miskolc
863,Győr,Siófok
558,Győr,Veszprém
6421,Győr,Sopron
7403,Győr,Szombathely
1773,Szeged,Pécs
1184,Szeged,Szekszárd
1952,Szeged,Debrecen
784,Szeged,Nyíregyháza
53,Szeged,Miskolc
1938,Szeged,Siófok
1026,Szeged,Veszprém
74,Szeged,Sopron
688,Szeged,Szombathely
2215,Pécs,Szekszárd
1012,Pécs,Debrecen
361,Pécs,Nyíregyháza
83,Pécs,Miskolc
1349,Pécs,Siófok
1828,Pécs,Veszprém
724,Pécs,Sopron
2680,Pécs,Szombathely
515,Szekszárd,Debrecen
0,Szekszárd,Nyíregyháza
20,Szekszárd,Miskolc
298,Szekszárd,Siófok
1514,Szekszárd,Veszprém
257,Szekszárd,Sopron
342,Szekszárd,Szombathely
6854,Debrecen,Nyíregyháza
2007,Debrecen,Miskolc
235,Debrecen,Siófok
33,Debrecen,Veszprém
362,Debrecen,Sopron
30,Debrecen,Szombathely
2415,Nyíregyháza,Miskolc
71,Nyíregyháza,Siófok
44,Nyíregyháza,Veszprém
100,Nyíregyháza,Sopron
25,Nyíregyháza,Szombathely
123,Miskolc,Siófok
6,Miskolc,Veszprém
97,Miskolc,Sopron
155,Miskolc,Szombathely
5585,Siófok,Veszprém
567,Siófok,Sopron
372,Siófok,Szombathely
270,Veszprém,Sopron
770,Veszprém,Szombathely
2225,Sopron,Szombathely
