flow,origin,destination
5093,Budapest,Kecskemét
3270,Budapest,Szolnok
2807,Budapest,Dunaújváros
5556,Budapest,Székesfehérvár
2663,Budapest,Győr
2401,Budapest,Szeged
1606,Budapest,Pécs
554,Budapest,Szekszárd
2229,Budapest,Debrecen
1143,Budapest,Nyíregyháza
3250,Budapest,Miskolc
620,Budapest,Siófok
1383,Budapest,Veszprém
595,Budapest,Sopron
674,Budapest,Szombathely
457,Kecskemét,Szolnok
186,Kecskemét,Dunaújváros
157,Kecskemét,Székesfehérvár
70,Kecskemét,Győr
486,Kecskemét,Szeged
132,Kecskemét,Pécs
60,Kecskemét,Szekszárd
121,Kecskemét,Debrecen
48,Kecskemét,Nyíregyháza
112,Kecskemét,Miskolc
25,Kecskemét,Siófok
50,Kecskemét,Veszprém
21,Kecskemét,Sopron
25,Kecskemét,Szombathely
47,Szolnok,Dunaújváros
62,Szolnok,Székesfehérvár
39,Szolnok,Győr
232,Szolnok,Szeged
57,Szolnok,Pécs
19,Szolnok,Szekszárd
160,Szolnok,Debrecen
58,Szolnok,Nyíregyháza
133,Szolnok,Miskolc
11,Szolnok,Siófok
21,Szolnok,Veszprém
12,Szolnok,Sopron
14,Szolnok,Szombathely
329,Dunaújváros,Székesfehérvár
62,Dunaújváros,Győr
95,Dunaújváros,Szeged
100,Dunaújváros,Pécs
47,Dunaújváros,Szekszárd
28,Dunaújváros,Debrecen
16,Dunaújváros,Nyíregyháza
34,Dunaújváros,Miskolc
36,Dunaújváros,Siófok
66,Dunaújváros,Veszprém
15,Dunaújváros,Sopron
18,Dunaújváros,Szombathely
412,Székesfehérvár,Győr
122,Székesfehérvár,Szeged
207,Székesfehérvár,Pécs
66,Székesfehérvár,Szekszárd
51,Székesfehérvár,Debrecen
35,Székesfehérvár,Nyíregyháza
81,Székesfehérvár,Miskolc
343,Székesfehérvár,Siófok
755,Székesfehérvár,Veszprém
69,Székesfehérvár,Sopron
84,Székesfehérvár,Szombathely
74,Győr,Szeged
124,Győr,Pécs
29,Győr,Szekszárd
47,Győr,Debrecen
36,Győr,Nyíregyháza
82,Győr,Miskolc
81,Győr,Siófok
302,Győr,Veszprém
334,Győr,Sopron
295,Győr,Szombathely
245,Szeged,Pécs
92,Szeged,Szekszárd
203,Szeged,Debrecen
75,Szeged,Nyíregyháza
137,Szeged,Miskolc
26,Szeged,Siófok
53,Szeged,Veszprém
26,Szeged,Sopron
33,Szeged,Szombathely
463,Pécs,Szekszárd
63,Pécs,Debrecen
29,Pécs,Nyíregyháza
62,Pécs,Miskolc
85,Pécs,Siófok
140,Pécs,Veszprém
50,Pécs,Sopron
78,Pécs,Szombathely
17,Szekszárd,Debrecen
8,Szekszárd,Nyíregyháza
17,Szekszárd,Miskolc
22,Szekszárd,Siófok
34,Szekszárd,Veszprém
10,Szekszárd,Sopron
13,Szekszárd,Szombathely
2086,Debrecen,Nyíregyháza
669,Debrecen,Miskolc
10,Debrecen,Siófok
22,Debrecen,Veszprém
17,Debrecen,Sopron
19,Debrecen,Szombathely
624,Nyíregyháza,Miskolc
6,Nyíregyháza,Siófok
15,Nyíregyháza,Veszprém
13,Nyíregyháza,Sopron
14,Nyíregyháza,Szombathely
14,Miskolc,Siófok
33,Miskolc,Veszprém
28,Miskolc,Sopron
29,Miskolc,Szombathely
499,Siófok,Veszprém
18,Siófok,Sopron
28,Siófok,Szombathely
58,Veszprém,Sopron
94,Veszprém,Szombathely
482,Sopron,Szombathely
