origin,destination,ODM_value
Budapest,Kecskemét,27.10739059876185
Budapest,Szolnok,16.413178746573315
Budapest,Dunaújváros,3.156029948282221
Budapest,Székesfehérvár,84.07936509177463
Budapest,Győr,11.51853553970652
Budapest,Szeged,14.072292222279817
Budapest,Pécs,62.91549512913448
Budapest,Szekszárd,29.72137631087268
Budapest,Debrecen,3186.3632111815245
Budapest,Nyíregyháza,17.07808362728658
Budapest,Miskolc,24.25766587477688
Budapest,Siófok,185.48752983134744
Budapest,Veszprém,103.2960913854847
Budapest,Sopron,42.289669338908766
Budapest,Szombathely,73.51915651246821
Kecskemét,Szolnok,504.01361764918374
Kecskemét,Dunaújváros,3.47823562498351
Kecskemét,Székesfehérvár,1156.5606109584996
Kecskemét,Győr,1400.2067307926955
Kecskemét,Szeged,0.45082078275655024
Kecskemét,Pécs,3.102026052908604
Kecskemét,Szekszárd,12.217985949538466
Kecskemét,Debrecen,545.5987838623236
Kecskemét,Nyíregyháza,1053.568945792485
Kecskemét,Miskolc,589.3364231457622
Kecskemét,Siófok,14.518406361086244
Kecskemét,Veszprém,3411.4533917250465
Kecskemét,Sopron,2440.309873739158
Kecskemét,Szombathely,3461.0787704569825
Szolnok,Dunaújváros,546.2276901236085
Szolnok,Székesfehérvár,1217.315297808666
Szolnok,Győr,319.7379683798036
Szolnok,Szeged,596.7139091902362
Szolnok,Pécs,1399.1258585509133
Szolnok,Szekszárd,4077.1018482535706
Szolnok,Debrecen,1.64966673923559
Szolnok,Nyíregyháza,3.0223081062612036
Szolnok,Miskolc,449.5636813796433
Szolnok,Siófok,3865.7980297561758
Szolnok,Veszprém,2175.7357481480076
Szolnok,Sopron,560.9391367765313
Szolnok,Szombathely,2349.580788541954
Dunaújváros,Székesfehérvár,91.77360888770387
Dunaújváros,Győr,310.2809229041183
Dunaújváros,Szeged,14.517273941937306
Dunaújváros,Pécs,4.122906623692574
Dunaújváros,Szekszárd,2.457313920802557
Dunaújváros,Debrecen,477.5637991091015
Dunaújváros,Nyíregyháza,343.9889120954336
Dunaújváros,Miskolc,224.1501004017725
Dunaújváros,Siófok,7.983795815969469
Dunaújváros,Veszprém,107.94163818109865
Dunaújváros,Sopron,480.4011967365888
Dunaújváros,Szombathely,160.17842627127698
Székesfehérvár,Győr,18.401443899579775
Székesfehérvár,Szeged,1695.829941119144
Székesfehérvár,Pécs,744.2241029403312
Székesfehérvár,Szekszárd,274.07566229943933
Székesfehérvár,Debrecen,1174.1697336844354
Székesfehérvár,Nyíregyháza,2568.158703121369
Székesfehérvár,Miskolc,2959.162060661725
Székesfehérvár,Siófok,32.78957339560858
Székesfehérvár,Veszprém,1.462367740845592
Székesfehérvár,Sopron,16.22483811419152
Székesfehérvár,Szombathely,7.1545958954813536
Győr,Szeged,1718.6015361295213
Győr,Pécs,5405.9652771879355
Győr,Szekszárd,2410.3757296195963
Győr,Debrecen,363.9779763927385
Győr,Nyíregyháza,675.3884233379111
Győr,Miskolc,964.846671981977
Győr,Siófok,1058.8930034526047
Győr,Veszprém,0.8839650953341293
Győr,Sopron,0.0
Győr,Szombathely,3.844458718064609
Szeged,Pécs,1.6112845301958858
Szeged,Szekszárd,12.268558103315721
Szeged,Debrecen,579.414186144843
Szeged,Nyíregyháza,1284.1099141876086
Szeged,Miskolc,785.3895769317974
Szeged,Siófok,40.218919277413995
Szeged,Veszprém,4961.181480817742
Szeged,Sopron,2582.6301775051143
Szeged,Szombathely,4681.053589067733
Pécs,Szekszárd,0.2791976467878525
Pécs,Debrecen,1375.3422437534357
Pécs,Nyíregyháza,4070.6016981161256
Pécs,Miskolc,3972.83650981366
Pécs,Siófok,15.809602987788882
Pécs,Veszprém,3585.176368939405
Pécs,Sopron,7791.168556993094
Pécs,Szombathely,2492.36263409674
Szekszárd,Debrecen,4322.805166964194
Szekszárd,Nyíregyháza,3034.181990848321
Szekszárd,Miskolc,1150.2068271642645
Szekszárd,Siófok,15.727808654959697
Szekszárd,Veszprém,879.476071007574
Szekszárd,Sopron,4162.6586274833135
Szekszárd,Szombathely,444.76419212106237
Debrecen,Nyíregyháza,1.3978182809115092
Debrecen,Miskolc,1667.3459378547057
Debrecen,Siófok,4186.770419609328
Debrecen,Veszprém,2354.0901877956176
Debrecen,Sopron,550.3006393712553
Debrecen,Szombathely,2489.1936391277404
Nyíregyháza,Miskolc,617.1135041446829
Nyíregyháza,Siófok,5056.091830511469
Nyíregyháza,Veszprém,3739.6461772006433
Nyíregyháza,Sopron,1329.4302883639098
Nyíregyháza,Szombathely,4809.713726321238
Miskolc,Siófok,5008.258460787068
Miskolc,Veszprém,4639.946135593814
Miskolc,Sopron,1673.128073106345
Miskolc,Szombathely,4627.720637699118
Siófok,Veszprém,236.4440990860959
Siófok,Sopron,6643.871836355066
Siófok,Szombathely,150.7087643085283
Veszprém,Sopron,15.42219137824787
Veszprém,Szombathely,4.544450585564205
Sopron,Szombathely,1288.5548012284862
