origin,destination,ODM_value
Budapest,Kecskemét,16801.781926101667
Budapest,Szolnok,24640.723013802737
Budapest,Dunaújváros,20711.79806504161
Budapest,Székesfehérvár,17424.47880981418
Budapest,Győr,24378.94947142719
Budapest,Szeged,5121.301686299171
Budapest,Pécs,0.0023199759789242005
Budapest,Szekszárd,1131.1465094901444
Budapest,Debrecen,905.795521489294
Budapest,Nyíregyháza,1036.9141138774005
Budapest,Miskolc,12019.596486748214
Budapest,Siófok,0.005774578137270225
Budapest,Veszprém,79.6437062608239
Budapest,Sopron,2532.5634555988368
Budapest,Szombathely,0.0
Kecskemét,Szolnok,19224.531747655175
Kecskemét,Dunaújváros,15226.970581233936
Kecskemét,Székesfehérvár,83.7734292008775
Kecskemét,Győr,1603.4194173740816
Kecskemét,Szeged,22584.85597566702
Kecskemét,Pécs,22.1500691981492
Kecskemét,Szekszárd,0.005178070527330547
Kecskemét,Debrecen,17.268182436422975
Kecskemét,Nyíregyháza,0.0
Kecskemét,Miskolc,2189.15954473308
Kecskemét,Siófok,0.00012415030448664766
Kecskemét,Veszprém,0.0002597703709249538
Kecskemét,Sopron,25.18948065272926
Kecskemét,Szombathely,0.0
Szolnok,Dunaújváros,265.5653887068175
Szolnok,Székesfehérvár,0.01102407496404112
Szolnok,Győr,807.1105742881716
Szolnok,Szeged,3072.230527906269
Szolnok,Pécs,0.0
Szolnok,Szekszárd,0.00017870640526496118
Szolnok,Debrecen,27087.32644647516
Szolnok,Nyíregyháza,4995.830101116442
Szolnok,Miskolc,3.509765627640604e-05
Szolnok,Siófok,0.0
Szolnok,Veszprém,0.0005452517728947726
Szolnok,Sopron,0.0
Szolnok,Szombathely,0.0
Dunaújváros,Székesfehérvár,19605.146433102214
Dunaújváros,Győr,1042.638499965389
Dunaújváros,Szeged,79.41012099236391
Dunaújváros,Pécs,0.0
Dunaújváros,Szekszárd,39036.01436186707
Dunaújváros,Debrecen,23.571751002789775
Dunaújváros,Nyíregyháza,57.70747623903371
Dunaújváros,Miskolc,1594.7795332265691
Dunaújváros,Siófok,20715.694597008678
Dunaújváros,Veszprém,0.0005281287933346923
Dunaújváros,Sopron,0.0
Dunaújváros,Szombathely,1.1195550548792621e-05
Székesfehérvár,Győr,10478.992103361512
Székesfehérvár,Szeged,0.0
Székesfehérvár,Pécs,0.0003474847668589742
Székesfehérvár,Szekszárd,326.8110220789167
Székesfehérvár,Debrecen,0.0
Székesfehérvár,Nyíregyháza,533.1359524472355
Székesfehérvár,Miskolc,9862.099193559798
Székesfehérvár,Siófok,7718.905337881278
Székesfehérvár,Veszprém,22547.314468013727
Székesfehérvár,Sopron,19.767487129715732
Székesfehérvár,Szombathely,1059.1229811932672
Győr,Szeged,0.00013703007650622823
Győr,Pécs,2.2254098467342116e-05
Győr,Szekszárd,177.35060435744384
Győr,Debrecen,50.082642316734834
Győr,Nyíregyháza,13548.809068473172
Győr,Miskolc,2719.4416242064162
Győr,Siófok,0.0009327509584977633
Győr,Veszprém,12683.335136175867
Győr,Sopron,24030.745346135132
Győr,Szombathely,11197.373861694345
Szeged,Pécs,14104.123046378714
Szeged,Szekszárd,7251.407847057443
Szeged,Debrecen,92.14224317037765
Szeged,Nyíregyháza,6.801216920015379
Szeged,Miskolc,0.0020637563762073777
Szeged,Siófok,0.0
Szeged,Veszprém,7.849779744432701e-05
Szeged,Sopron,0.0
Szeged,Szombathely,0.0012420889240732456
Pécs,Szekszárd,17695.198763085926
Pécs,Debrecen,0.0003019687689018724
Pécs,Nyíregyháza,1.6046448401141333e-05
Pécs,Miskolc,0.0
Pécs,Siófok,0.0
Pécs,Veszprém,0.0
Pécs,Sopron,9.438689230238401e-05
Pécs,Szombathely,1.39432265872097e-05
Szekszárd,Debrecen,0.00019538648507833045
Szekszárd,Nyíregyháza,0.0
Szekszárd,Miskolc,0.011743086076471343
Szekszárd,Siófok,0.012240843904798515
Szekszárd,Veszprém,0.0
Szekszárd,Sopron,0.0
Szekszárd,Szombathely,3.669724651411688e-05
Debrecen,Nyíregyháza,7589.395779362211
Debrecen,Miskolc,1.4839571888714573
Debrecen,Siófok,5.416693101700787e-05
Debrecen,Veszprém,4.3769707680496595e-06
Debrecen,Sopron,0.0
Debrecen,Szombathely,0.0001315549744944633
Nyíregyháza,Miskolc,4310.770252350472
Nyíregyháza,Siófok,0.0
Nyíregyháza,Veszprém,0.0
Nyíregyháza,Sopron,51.92910489843641
Nyíregyháza,Szombathely,0.0020245243363632426
Miskolc,Siófok,0.0033956227237688097
Miskolc,Veszprém,0.0
Miskolc,Sopron,901.9699551351063
Miskolc,Szombathely,0.0
Siófok,Veszprém,14371.505220447798
Siófok,Sopron,0.0
Siófok,Szombathely,38.22233309309034
Veszprém,Sopron,0.0
Veszprém,Szombathely,16103.016461615432
Sopron,Szombathely,3763.32028131017
