origin,destination,flow
Budapest,Szombathely,568.0735772380048
Budapest,Dunaújváros,2802.275014086237
Budapest,Sopron,440.4653101587873
Budapest,Veszprém,1320.0089442690394
Budapest,Székesfehérvár,4375.086461745631
Budapest,Debrecen,1875.5027872023081
Budapest,Nyíregyháza,954.5111467928144
Budapest,Siófok,515.3915667626774
Budapest,Pécs,1429.7194487212512
Budapest,Szekszárd,521.1601958447583
Budapest,Győr,2164.245692930907
Budapest,Kecskemét,5359.5618288986925
Budapest,Szolnok,3132.541665245538
Budapest,Miskolc,2583.456360103354
Szombathely,Budapest,747.0819246309252
Szombathely,Dunaújváros,29.803427767331197
Szombathely,Sopron,357.8629716185989
Szombathely,Veszprém,112.41166513566415
Szombathely,Székesfehérvár,100.11575579384521
Szombathely,Debrecen,31.512622190299513
Szombathely,Nyíregyháza,17.249248646921583
Szombathely,Siófok,33.806452630461024
Szombathely,Pécs,93.62869473526992
Szombathely,Szekszárd,19.109009953825648
Szombathely,Győr,259.19024772030497
Szombathely,Kecskemét,41.51811033274637
Szombathely,Szolnok,21.378133315472244
Szombathely,Miskolc,33.331735528334235
Dunaújváros,Budapest,2238.134450853381
Dunaújváros,Szombathely,18.09997581061255
Dunaújváros,Sopron,12.063268383838112
Dunaújváros,Veszprém,63.09358396072129
Dunaújváros,Székesfehérvár,251.34732754808047
Dunaújváros,Debrecen,32.93802929068524
Dunaújváros,Nyíregyháza,15.839535291893512
Dunaújváros,Siófok,33.27266153751695
Dunaújváros,Pécs,79.70139728291016
Dunaújváros,Szekszárd,40.60646924872817
Dunaújváros,Győr,54.336082077394195
Dunaújváros,Kecskemét,190.6026209681387
Dunaújváros,Szolnok,48.37058994976065
Dunaújváros,Miskolc,33.59400779633938
Sopron,Budapest,629.9639520374826
Sopron,Szombathely,389.1859137816719
Sopron,Dunaújváros,21.601980067398266
Sopron,Veszprém,68.03104366351879
Sopron,Székesfehérvár,72.6740855104344
Sopron,Debrecen,26.80038060974331
Sopron,Nyíregyháza,15.091684704922471
Sopron,Siófok,19.910325146029486
Sopron,Pécs,55.082225150950215
Sopron,Szekszárd,12.216538711204644
Sopron,Győr,290.36691333565585
Sopron,Kecskemét,31.75657886400402
Sopron,Szolnok,17.356483283137294
Sopron,Miskolc,29.961895133846653
Veszprém,Budapest,1357.4890277987242
Veszprém,Szombathely,87.90370808776171
Veszprém,Dunaújváros,81.23987266894208
Veszprém,Sopron,48.91731361754109
Veszprém,Székesfehérvár,583.3919696823375
Veszprém,Debrecen,33.376800194549745
Veszprém,Nyíregyháza,17.431386934064992
Veszprém,Siófok,359.3357882472184
Veszprém,Pécs,129.17897438706578
Veszprém,Szekszárd,35.474765715788244
Veszprém,Győr,273.27560367362054
Veszprém,Kecskemét,69.89244585290463
Veszprém,Szolnok,30.102763781917233
Veszprém,Miskolc,35.98957935756377
Székesfehérvár,Budapest,714.2380913992707
Székesfehérvár,Szombathely,12.427825845596653
Székesfehérvár,Dunaújváros,51.3754007044813
Székesfehérvár,Sopron,8.295297287510618
Székesfehérvár,Veszprém,92.60988837569137
Székesfehérvár,Debrecen,10.791947309374532
Székesfehérvár,Nyíregyháza,5.551350616465886
Székesfehérvár,Siófok,32.93630152870994
Székesfehérvár,Pécs,28.09399205817749
Székesfehérvár,Szekszárd,9.89876960877872
Székesfehérvár,Győr,51.75326394886634
Székesfehérvár,Kecskemét,29.233280529974426
Székesfehérvár,Szolnok,11.660048020953333
Székesfehérvár,Miskolc,12.134542766148895
Debrecen,Budapest,1407.6253564117221
Debrecen,Szombathely,17.984164679796578
Debrecen,Dunaújváros,30.952202729682668
Debrecen,Sopron,14.063918490512288
Debrecen,Veszprém,24.358728363711382
Debrecen,Székesfehérvár,49.61497945535286
Debrecen,Nyíregyháza,1089.7030643915202
Debrecen,Siófok,9.94900896544003
Debrecen,Pécs,51.22421247293429
Debrecen,Szekszárd,15.463610105326191
Debrecen,Győr,44.451382340325495
Debrecen,Kecskemét,116.51272238165694
Debrecen,Szolnok,143.27841003813495
Debrecen,Miskolc,488.8182391738842
Nyíregyháza,Budapest,139.82791982192677
Nyíregyháza,Szombathely,1.9214072958154815
Nyíregyháza,Dunaújváros,2.9052259222596932
Nyíregyháza,Sopron,1.5457762386541878
Nyíregyháza,Veszprém,2.4830495242147848
Nyíregyháza,Székesfehérvár,4.981443193134213
Nyíregyháza,Debrecen,212.692265421347
Nyíregyháza,Siófok,0.990842803663075
Nyíregyháza,Pécs,4.848373846416911
Nyíregyháza,Szekszárd,1.4230206075313865
Nyíregyháza,Győr,4.837628296270928
Nyíregyháza,Kecskemét,9.746690645215766
Nyíregyháza,Szolnok,10.961418896236511
Nyíregyháza,Miskolc,82.83493748731323
Siófok,Budapest,87.23580273817446
Siófok,Szombathely,4.351043409129415
Siófok,Dunaújváros,7.0513062670547795
Siófok,Sopron,2.356306696555376
Siófok,Veszprém,59.142335812380914
Siófok,Székesfehérvár,34.148836854267
Siófok,Debrecen,2.2437161215171466
Siófok,Nyíregyháza,1.1448519307601148
Siófok,Pécs,12.408044830353282
Siófok,Szekszárd,3.6548556974947815
Siófok,Győr,10.457942849458146
Siófok,Kecskemét,5.373867234090125
Siófok,Szolnok,2.1247121832423845
Siófok,Miskolc,2.306377375522134
Pécs,Budapest,456.5536377147192
Pécs,Szombathely,22.73454736313549
Pécs,Dunaújváros,31.86628970149496
Pécs,Sopron,12.298395916651254
Pécs,Veszprém,40.111911701855604
Pécs,Székesfehérvár,54.953843151628604
Pécs,Debrecen,21.7944997541236
Pécs,Nyíregyháza,10.568763750071254
Pécs,Siófok,23.409216738264316
Pécs,Szekszárd,105.41087422439323
Pécs,Győr,34.77203182510659
Pécs,Kecskemét,46.697135165742424
Pécs,Szolnok,18.213106951230547
Pécs,Miskolc,18.615746041582884
Szekszárd,Budapest,44.09061278822621
Szekszárd,Szombathely,1.2292761152647929
Szekszárd,Dunaújváros,4.30125021719669
Szekszárd,Sopron,0.72263515116777
Szekszárd,Veszprém,2.9183338874471936
Szekszárd,Székesfehérvár,5.129791865785015
Szekszárd,Debrecen,1.7430763871480108
Szekszárd,Nyíregyháza,0.8218133525490889
Szekszárd,Siófok,1.826786010489742
Szekszárd,Pécs,27.926681303279878
Szekszárd,Győr,2.390608991009549
Szekszárd,Kecskemét,5.622946788124232
Szekszárd,Szolnok,1.7803089222502706
Szekszárd,Miskolc,1.495878220061568
Győr,Budapest,113.21247586310818
Győr,Szombathely,10.30962202981912
Győr,Dunaújváros,3.5587758010901798
Győr,Sopron,10.62015525292553
Győr,Veszprém,13.900458790632293
Győr,Székesfehérvár,16.583229196706498
Győr,Debrecen,3.098158482773957
Győr,Nyíregyháza,1.7274573344307842
Győr,Siófok,3.2320385835080367
Győr,Pécs,5.696089600486071
Győr,Szekszárd,1.4781597711081873
Győr,Kecskemét,4.45688660366588
Győr,Szolnok,2.3610897571061433
Győr,Miskolc,3.76540293263917
Kecskemét,Budapest,1012.5861060342172
Kecskemét,Szombathely,5.964535363142666
Kecskemét,Dunaújváros,45.08749729022445
Kecskemét,Sopron,4.195004197957125
Kecskemét,Veszprém,12.840249518784358
Kecskemét,Székesfehérvár,33.83170341063305
Kecskemét,Debrecen,29.32963517928286
Kecskemét,Nyíregyháza,12.57033837071461
Kecskemét,Siófok,5.998354896411819
Kecskemét,Pécs,27.62815818437631
