flow,origin,destination
5167,Budapest,Kecskemét
3297,Budapest,Szolnok
2798,Budapest,Dunaújváros
5423,Budapest,Székesfehérvár
2569,Budapest,Győr
2372,Budapest,Szeged
1598,Budapest,Pécs
540,Budapest,Szekszárd
2038,Budapest,Debrecen
1017,Budapest,Nyíregyháza
2517,Budapest,Miskolc
568,Budapest,Siófok
1400,Budapest,Veszprém
575,Budapest,Sopron
623,Budapest,Szombathely
402,Kecskemét,Szolnok
171,Kecskemét,Dunaújváros
155,Kecskemét,Székesfehérvár
71,Kecskemét,Győr
457,Kecskemét,Szeged
128,Kecskemét,Pécs
54,Kecskemét,Szekszárd
128,Kecskemét,Debrecen
53,Kecskemét,Nyíregyháza
91,Kecskemét,Miskolc
25,Kecskemét,Siófok
51,Kecskemét,Veszprém
21,Kecskemét,Sopron
25,Kecskemét,Szombathely
44,Szolnok,Dunaújváros
64,Szolnok,Székesfehérvár
40,Szolnok,Győr
199,Szolnok,Szeged
51,Szolnok,Pécs
17,Szolnok,Szekszárd
186,Szolnok,Debrecen
69,Szolnok,Nyíregyháza
133,Szolnok,Miskolc
10,Szolnok,Siófok
23,Szolnok,Veszprém
12,Szolnok,Sopron
13,Szolnok,Szombathely
324,Dunaújváros,Székesfehérvár
61,Dunaújváros,Győr
86,Dunaújváros,Szeged
93,Dunaújváros,Pécs
45,Dunaújváros,Szekszárd
32,Dunaújváros,Debrecen
15,Dunaújváros,Nyíregyháza
27,Dunaújváros,Miskolc
38,Dunaújváros,Siófok
67,Dunaújváros,Veszprém
15,Dunaújváros,Sopron
19,Dunaújváros,Szombathely
394,Székesfehérvár,Győr
117,Székesfehérvár,Szeged
197,Székesfehérvár,Pécs
64,Székesfehérvár,Szekszárd
63,Székesfehérvár,Debrecen
32,Székesfehérvár,Nyíregyháza
63,Székesfehérvár,Miskolc
262,Székesfehérvár,Siófok
719,Székesfehérvár,Veszprém
67,Székesfehérvár,Sopron
86,Székesfehérvár,Szombathely
73,Győr,Szeged
122,Győr,Pécs
28,Győr,Szekszárd
58,Győr,Debrecen
32,Győr,Nyíregyháza
63,Győr,Miskolc
72,Győr,Siófok
320,Győr,Veszprém
322,Győr,Sopron
258,Győr,Szombathely
245,Szeged,Pécs
87,Szeged,Szekszárd
210,Szeged,Debrecen
79,Szeged,Nyíregyháza
108,Szeged,Miskolc
26,Szeged,Siófok
52,Szeged,Veszprém
26,Szeged,Sopron
33,Szeged,Szombathely
438,Pécs,Szekszárd
67,Pécs,Debrecen
31,Pécs,Nyíregyháza
49,Pécs,Miskolc
86,Pécs,Siófok
137,Pécs,Veszprém
49,Pécs,Sopron
81,Pécs,Szombathely
18,Szekszárd,Debrecen
8,Szekszárd,Nyíregyháza
13,Szekszárd,Miskolc
23,Szekszárd,Siófok
33,Szekszárd,Veszprém
9,Szekszárd,Sopron
14,Szekszárd,Szombathely
2062,Debrecen,Nyíregyháza
694,Debrecen,Miskolc
12,Debrecen,Siófok
28,Debrecen,Veszprém
21,Debrecen,Sopron
22,Debrecen,Szombathely
630,Nyíregyháza,Miskolc
6,Nyíregyháza,Siófok
14,Nyíregyháza,Veszprém
11,Nyíregyháza,Sopron
12,Nyíregyháza,Szombathely
10,Miskolc,Siófok
26,Miskolc,Veszprém
21,Miskolc,Sopron
21,Miskolc,Szombathely
478,Siófok,Veszprém
17,Siófok,Sopron
29,Siófok,Szombathely
62,Veszprém,Sopron
97,Veszprém,Szombathely
478,Sopron,Szombathely
