origin,destination,flow
Kecskemét,Pécs,5498.726296174504
Budapest,Kecskemét,5051.74394387811
Kecskemét,Szeged,4800.421791077497
Kecskemét,Győr,4429.342102378603
Kecskemét,Veszprém,4011.034089663488
Pécs,Szombathely,3798.5066315904855
Szolnok,Székesfehérvár,3378.5118930176473
Budapest,Pécs,3311.0428587087576
Győr,Veszprém,2993.9383974569773
Pécs,Veszprém,2686.9542913515293
Siófok,Veszprém,2518.2817055793053
Kecskemét,Székesfehérvár,2476.113559136249
Debrecen,Nyíregyháza,2209.610873616135
Miskolc,Siófok,1993.7099638276882
Kecskemét,Szekszárd,1850.3382659212978
Győr,Sopron,1771.0621506083526
Miskolc,Veszprém,1737.3276334539078
Szolnok,Szeged,1509.6196426614051
Kecskemét,Szombathely,1425.2833497752931
Kecskemét,Siófok,1418.5364463444043
Debrecen,Szombathely,1410.1028170557931
Székesfehérvár,Siófok,1374.681574043626
Dunaújváros,Szekszárd,1366.2479447550147
Szeged,Nyíregyháza,1362.8744930395703
Debrecen,Miskolc,1135.166502247068
Pécs,Sopron,1125.0461471007345
Veszprém,Sopron,963.1204647593993
Kecskemét,Miskolc,902.3983338813987
Budapest,Székesfehérvár,897.338156308232
Kecskemét,Dunaújváros,851.7965581497315
Dunaújváros,Szombathely,851.7965581497315
Budapest,Siófok,760.7133618327306
Szeged,Pécs,738.7859256823414
Kecskemét,Sopron,733.7257481091746
Budapest,Nyíregyháza,715.17176367423
Székesfehérvár,Veszprém,694.9310533815631
Sopron,Szombathely,644.3292776498959
Szolnok,Veszprém,642.6425517921737
Budapest,Debrecen,637.5823742190069
Szeged,Miskolc,630.835470788118
Budapest,Szekszárd,619.0283897840623
Debrecen,Sopron,608.9080346377289
Győr,Siófok,580.2336950564508
Pécs,Siófok,573.4867916255618
Nyíregyháza,Siófok,571.8000657678396
Pécs,Szekszárd,511.07793488983884
Budapest,Sopron,497.58412802806095
Budapest,Veszprém,482.4035953085608
Szeged,Szekszárd,441.922174723227
Budapest,Dunaújváros,441.922174723227
Székesfehérvár,Pécs,426.74164200372684
Debrecen,Veszprém,393.00712484928204
Siófok,Szombathely,379.51331798750414
Veszprém,Szombathely,376.13986627205963
Székesfehérvár,Debrecen,371.07968869889294
Nyíregyháza,Veszprém,369.3929628411707
Budapest,Szolnok,366.0195111257262
Székesfehérvár,Nyíregyháza,366.0195111257262
Szolnok,Sopron,360.9593335525595
Győr,Debrecen,344.092074975337
Budapest,Győr,340.7186232598926
Miskolc,Sopron,332.2849939712814
Nyíregyháza,Sopron,313.7310095363367
Dunaújváros,Pécs,303.6106543900033
Szolnok,Győr,303.6106543900033
Győr,Miskolc,231.08144250794697
Szolnok,Miskolc,222.64781321933577
Siófok,Sopron,220.9610873616135
Pécs,Nyíregyháza,209.15400635755782
Kecskemét,Szolnok,202.40710292666884
Székesfehérvár,Győr,202.40710292666884
Győr,Nyíregyháza,200.72037706894662
Székesfehérvár,Miskolc,187.2265702071687
Dunaújváros,Debrecen,172.0460374876685
Szeged,Veszprém,163.6124081990573
Budapest,Szeged,155.17877891044614
Szekszárd,Miskolc,150.11860133727942
Budapest,Szombathely,143.37169790639044
Szekszárd,Veszprém,138.3115203332237
Győr,Pécs,136.62479447550146
Székesfehérvár,Szeged,123.13098761372356
Győr,Szeged,114.69735832511236
Dunaújváros,Székesfehérvár,114.69735832511236
Nyíregyháza,Szombathely,94.45664803244547
Dunaújváros,Veszprém,94.45664803244547
Szolnok,Siófok,94.45664803244547
Győr,Szombathely,86.02301874383426
Székesfehérvár,Sopron,80.96284117066755
Szeged,Siófok,80.96284117066755
Győr,Szekszárd,64.09558259344514
Budapest,Miskolc,60.72213087800066
Kecskemét,Nyíregyháza,60.72213087800066
Dunaújváros,Győr,55.66195330483394
Szekszárd,Sopron,52.288501589389455
Dunaújváros,Siófok,35.42124301216705
Szolnok,Szombathely,35.42124301216705
Székesfehérvár,Szombathely,35.42124301216705
Dunaújváros,Sopron,32.04779129672257
Szekszárd,Szombathely,28.67433958127809
Szeged,Debrecen,28.67433958127809
Dunaújváros,Nyíregyháza,23.614162008111368
Székesfehérvár,Szekszárd,23.614162008111368
Szolnok,Pécs,21.927436150389127
Miskolc,Szombathely,20.240710292666886
Pécs,Miskolc,20.240710292666886
Szekszárd,Siófok,16.867258577222405
Nyíregyháza,Miskolc,16.867258577222405
Szekszárd,Nyíregyháza,15.180532719500166
Szeged,Sopron,15.180532719500166
Szolnok,Szekszárd,11.807081004055684
Szeged,Szombathely,11.807081004055684
Szolnok,Dunaújváros,10.120355146333443
Pécs,Debrecen,10.120355146333443
Dunaújváros,Szeged,10.120355146333443
Dunaújváros,Miskolc,3.3734517154444807
Kecskemét,Debrecen,1.6867258577222404
Debrecen,Siófok,1.6867258577222404
Szolnok,Nyíregyháza,0.0
Szolnok,Debrecen,0.0
Szekszárd,Debrecen,0.0
